Number,StartMilliseconds,EndMilliseconds,Text
366,2637803,2643010,"Her ears are pierced three times
and there's glitter nail polish."
367,2643141,2645596,That looks like town to me.
368,2650993,2656864,"Two of her fingernails are broken off
and there's dirt or grit under them."
369,2656998,2660497,"It looks like she's tried
to claw her way through something."
370,2660626,2665287,"Ray, get pictures of her teeth.
We'll fax 'em for Missing Persons."
371,2674554,2676593,Let's do another.
372,2684939,2687810,She's got something in her throat.
373,2687942,2692817,"When a body comes out of the water,
lots of times there's leaves in the mouth."
374,2724267,2727221,What is that? Some kind of seed pod?
375,2727770,2730261,"No, sir. That's a bug cocoon."
376,2730982,2733686,"There's no way that could
get way down in there."
377,2733818,2736735,Not unless somebody shoved it in there.
378,2738947,2742611,"She'll be easier to print when we turn
her over. Lamar, give me a hand."
379,2742741,2744781,"Yes, sir. I will."
380,2748580,2754465,"- Oh, Jack. What do you make of these?
- Different configuration than the others."
381,2754598,2757266,"- Get close-ups.
- The victim's skin removed,"
382,2757392,2760926,"this time in two large diamond-shaped
sections above the buttocks."
383,2761062,2764645,"Exit wound level with the second
or the third thoracic vertebrae,"
384,2764774,2767347,six inches from the right shoulder blade.
385,2767485,2773237,"Starling, when I told that sheriff
we shouldn't talk in front of a woman,"
386,2773365,2775404,"that really burned you, didn't it?"
387,2775533,2779116,"It was just smoke, Starling.
I had to get rid of him."
388,2779245,2783539,"It matters, Mr Crawford.
Cops look at you to see how to act."
389,2783667,2786122,"- It matters.
- Point taken."
390,2792633,2796630,"Ligature marks found around the wrists,
not around the ankles."
391,2796762,2800805,"This would indicate that
the skinning was postmortem."
392,2823533,2826487,"- Time, Pilch. My move.
- You lured him with produce."
393,2826620,2830119,Tough noogies. It's still my turn.
394,2830248,2832537,"Nice and slow, baby."
395,2832667,2836581,"If the beetle moves one of your men,
does that still count?"
396,2837380,2839836,Course it counts. How do you play?
397,2840757,2842797,Agent Starling?
398,2844052,2847587,"Where the heck did this come from?
It's practically mush."
