Number,StartMilliseconds,EndMilliseconds,Text
420,2410101,2413263,"It's going to be a short
but extremely nasty one."
421,2413363,2417610,"But what does one do in a war?
One kills one's enemies."
422,2417710,2420838,"Well, even with the guns we have,
it'll be slow work."
423,2421338,2424858,"We have a gasoline pump
in our little motor pool."
424,2425668,2428862,Gasoline may serve to end their lives.
425,2428962,2432208,Hold up. You want to napalm them?
426,2432308,2437263,"We have a sprayer truck that we use
to keep our playing fields very green."
427,2440441,2442668,I want to wipe them out.
428,2443168,2446472,"I agree with him.
I think we should wipe them out."
429,2447072,2448874,The ones on the soccer field.
430,2448974,2453070,"And I don't want to do it for the human race.
I want to do it for my mom."
431,2453170,2455831,"As many as we can, as fast as we can."
432,2459602,2462056,"- Before it's too late.
- (MUSIC PLAYING)"
433,2470195,2474851,"- We sure we want to do this?
- Oh, yeah, for sure. Let's go."
434,2475251,2477327,(ENGINE STARTS)
435,2484517,2486578,I'm sure.
436,2488013,2490036,(MUSIC CONTINUES)
437,2500868,2502361,(SQUISHING)
438,2502661,2504490,Whoa.
439,2507591,2509960,Holy cow.
440,2512170,2513606,(GROANS)
441,2527703,2529929,All right. (EXHALES)
442,2539815,2542859,Do you like first-person shooter games?
443,2544887,2546704,Yeah.
444,2555831,2559777,"- Pretty freaked out, huh?
- I'm fine."
445,2559877,2562054,How about you?
446,2563405,2565448,Freak city.
447,2565548,2567493,(TRUCK ENGINE REVVING)
448,2569393,2571237,(SQUISHING)
449,2576259,2577895,TOM: We have a problem?
450,2577995,2581388,"- No, no, no. It's great.
- Put it in a lower gear."
451,2581488,2585019,"- Yeah, it's not like I've done this before.
- Just put it in a lower gear."
452,2585119,2588746,"Yeah, we were just on somebody's
head or something."
453,2599291,2601868,All right. They're coming back.
454,2604254,2606339,(BRAKES SQUEAL)
455,2610327,2613522,"No, you've had enough of that to be DUI.
You know that, right?"
456,2613622,2615366,Yeah.
457,2615466,2620354,"But it won't really count...
after the mass murder, you know?"
458,2623281,2626519,"No one knows better than me
that you can't stop progress."
459,2626619,2631072,"But still...
you're never too old to fight it."
460,2642250,2644268,(HOWLING)
461,2653270,2655486,(MUSIC STOPS)
462,2657933,2662044,"- Holy shit.
- ALICE: Oh, my God. Oh, my God."
463,2683192,2685939,"Shit, the truck. Get down!"
464,2687821,2689829,(GRUNTS)
465,2696455,2699091,"Alice, you all right?"
466,2699191,2702269,"Yeah, yeah, I'm fine. I'm fine."
467,2702369,2704254,Shit.
468,2708683,2710485,Ardai!
469,2711279,2712872,Ardai!
470,2713872,2715766,(CRYING) No!
471,2716166,2718477,Help. Help him.
472,2718577,2723794,Somebody help him. Tom. Clay.
473,2724575,2726419,Help him.
474,2727319,2729355,"- (SOBBING)
- Okay."
475,2729455,2733325,"- No.
- Come on, buddy. Come on. It's okay."
476,2733425,2735036,All right.
477,2735136,2737164,(HOWLING)
478,2738514,2742167,"- TOM: What is that?
- Yeah, I feel it, too."
479,2743794,2745963,It feels like rage.
480,2747406,2749459,We got to go right now.
481,2764023,2767835,"TOM: Do not withhold
your mercy from us, O Lord."
482,2769170,2771639,May your love and your truth...
483,2771739,2773849,always protect us.
484,2773949,2777770,For troubles without number surround us.
485,2778270,2782445,"Our sins have overrun us
and we cannot see."
486,2784034,2789197,"Our sins are more
than the hairs of our head..."
487,2789297,2793268,and our hearts fail within us.
488,2793944,2796993,"Be pleased to save us, O Lord."
489,2798382,2802820,"O Lord, come quickly to help us."
490,2805673,2808451,May those who seek to take our lives...
491,2808551,2811195,as this life was taken...
492,2812195,2815332,be put to shame and confusion.
493,2816692,2820187,May those who desire ruin...
494,2820287,2823982,be turned back in disgrace.
495,2825576,2828921,"May all those who say to us,"
496,2829021,2831023,"""Aha."
497,2831707,2834302,"Aha..."""
498,2837045,2840828,be appalled by their own shame.
499,2842751,2845175,For here lies the dead.
500,2846775,2850297,The dust of the Earth.
501,2854597,2856791,(EXHALES)
502,2875451,2877473,(GASPS)
503,2951735,2953782,(MAN MOANING)
504,2972631,2974666,(CHUCKLES)
505,2975759,2977858,(GASPS)
506,2980848,2982889,(BREATHING HEAVILY)
507,2986028,2987446,JORDAN: Nightmare?
508,2988796,2990665,CLAY: Yeah.
509,2991384,2994870,"- You, too?
- Yeah."
510,2995563,2998791,"I thought when you get older,
the nightmares go away."
511,2998891,3002877,"No, they still happen."
512,3003096,3005723,"They just grow up, too."
513,3008676,3011979,There was this really creepy...
514,3012079,3014190,disgusting guy in my dream.
515,3014290,3017235,"He was dirty. Yellow teeth.
He had on a red hoodie."
516,3017335,3018527,"- What?
- Long hair."
517,3018627,3021305,Does he have a tear on his cheek?
518,3021805,3026094,"ALICE: In my dream, he was poking my neck
with a knitting needle and calling me insane."
519,3026194,3030906,"- In a red hoodie?
- Pushed me in front of a speeding train."
520,3036128,3038664,The guy in my dream...
521,3038764,3041117,"that's the character
from my graphic novel."
522,3041217,3044503,"You know, my comic book,
""The Night Traveler."""
523,3044603,3047290,"He's the guy in the drawings
on your wall of your apartment?"
524,3047390,3052170,"Yes. He's a... you know,
prophet of the apocalypse."
525,3052270,3054305,So you saw all this shit coming?
